Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
1/11/15,Sun,La Liga,Matchweek 18,Home,W 3–1,Barcelona,Atlético Madrid,Y,,90,1,1,0,0,,,1,0,79,8,0,,1,0.9,0.9,0,7,2,50,62,80.6,9,85,17,13,17,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/15,Sun,La Liga,Matchweek 19,Away,W 4–0,Barcelona,La Coruña,Y,,90,3,0,0,0,,,0,0,82,7,1,,0,1.2,1.2,0,7,2,45,61,73.8,8,69,14,2,6,Match Report
1/21/15,Wed,Copa del Rey,Quarter-finals,Home,W 1–0,Barcelona,Atlético Madrid,Y,,90,1,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
1/24/15,Sat,La Liga,Matchweek 20,Away,W 6–0,Barcelona,Elche,Y,,90,2,2,1,1,,,0,0,82,8,0,,0,1,0.2,0.8,7,3,59,67,88.1,7,73,11,2,4,Match Report
1/28/15,Wed,Copa del Rey,Quarter-finals,Away,W 3–2,Barcelona,Atlético Madrid,Y,,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
2/1/15,Sun,La Liga,Matchweek 21,Home,W 3–2,Barcelona,Villarreal,Y,,90,1,0,0,0,,,0,0,93,8,0,,1,0.6,0.6,0.2,9,1,67,78,85.9,17,80,20,4,5,Match Report
2/8/15,Sun,La Liga,Matchweek 22,Away,W 5–2,Barcelona,Athletic Club,Y,,90,1,2,0,0,,,0,0,100,4,0,,1,0.6,0.6,0.5,9,3,70,84,83.3,13,72,15,4,10,Match Report
2/11/15,Wed,Copa del Rey,Semi-finals,Home,W 3–1,Barcelona,Villarreal,Y,,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2/15/15,Sun,La Liga,Matchweek 23,Home,W 5–0,Barcelona,Levante,Y,,90,3,1,1,1,,,0,0,92,2,0,,0,2.4,1.6,0.3,7,1,58,75,77.3,10,63,22,4,9,Match Report
2/21/15,Sat,La Liga,Matchweek 24,Home,L 0–1,Barcelona,Málaga,Y,,90,0,0,0,0,,,0,0,80,4,0,,0,0.1,0.1,0.2,2,0,44,67,65.7,10,78,21,8,12,Match Report
2/24/15,Tue,Champions Lg,Round of 16,Away,W 2–1,es Barcelona,eng Manchester City,Y,,90,0,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2/28/15,Sat,La Liga,Matchweek 25,Away,W 3–1,Barcelona,Granada,Y,,90,1,0,0,0,,,0,0,63,5,1,,0,1.6,1.6,0.3,4,0,35,48,72.9,9,57,13,6,7,Match Report
3/4/15,Wed,Copa del Rey,Semi-finals,Away,W 3–1,Barcelona,Villarreal,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
3/8/15,Sun,La Liga,Matchweek 26,Home,W 6–1,Barcelona,Rayo Vallecano,Y,,90,3,1,1,1,,,0,0,58,10,1,,1,2.8,2.1,0.7,6,3,40,45,88.9,8,48,8,5,7,Match Report
3/14/15,Sat,La Liga,Matchweek 27,Away,W 2–0,Barcelona,Eibar,Y,,90,2,0,1,1,,,0,0,90,8,0,,3,1,0.4,0.2,5,1,58,75,77.3,8,82,16,13,15,Match Report
3/18/15,Wed,Champions Lg,Round of 16,Home,W 1–0,es Barcelona,eng Manchester City,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
3/22/15,Sun,La Liga,Matchweek 28,Home,W 2–1,Barcelona,Real Madrid,Y,,90,0,1,0,0,,,0,0,64,28,0,,1,0.3,0.3,0.7,7,1,37,47,78.7,12,57,17,6,10,Match Report
4/5/15,Sun,La Liga,Matchweek 29,Away,W 1–0,Barcelona,Celta Vigo,Y,,90,0,0,0,0,,,0,0,68,17,1,,0,0.8,0.8,0,4,0,44,54,81.5,9,50,13,4,8,Match Report
4/8/15,Wed,La Liga,Matchweek 30,Home,W 4–0,Barcelona,Almería,Y,,90,1,0,0,0,,,0,0,87,1,1,,0,0.1,0.1,0,4,3,56,69,81.2,5,77,22,4,7,Match Report
4/11/15,Sat,La Liga,Matchweek 31,Away,D 2–2,Barcelona,Sevilla,Y,,90,1,0,0,0,,,0,0,89,9,1,,1,0.3,0.3,0.1,5,0,66,76,86.8,9,75,15,5,7,Match Report
4/15/15,Wed,Champions Lg,Quarter-finals,Away,W 3–1,es Barcelona,fr Paris S-G,Y,,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
